voiceID,meanF0_Hz,harmonics,percurssives
Marcelo,174.99704956251716,-0.0,-1e-06
Marcelo,187.2979953015984,0.0,1e-06
Marcelo,174.29320040273885,0.0,0.0
Marcelo,178.16036172337598,-0.0,-2e-06
Marcelo,177.95532000714036,0.0,0.0
Marcelo,175.9205257217156,-0.0,2e-06
Marcelo,177.2644725346599,-0.0,-1e-06
Marcelo,182.49640164927894,0.0,1e-06
Marcelo,172.1242542179135,-0.0,-2e-06
Marcelo,178.5536446947982,0.0,0.0
Marcelo,174.35234519134752,0.0,1e-06
Marcelo,173.94542884020595,-0.0,-3e-06
Marcelo,179.62851733511437,0.0,1e-06
Marcelo,171.68914679247095,-0.0,1e-06
Marcelo,174.16744690068495,0.0,2e-06
Marcelo,182.6262763231567,0.0,0.0
Marcelo,172.65620480946473,-0.0,-2e-06
Marcelo,168.51273019696342,0.0,0.0
Marcelo,173.2686567034115,0.0,1e-06
Marcelo,172.91502215953443,0.0,1e-06
Marcelo,174.10528522268243,0.0,1e-06
Marcelo,166.10259842789858,-0.0,-1e-06
Marcelo,166.62855581638811,0.0,-1e-06
Marcelo,175.60558173672618,-0.0,-1e-06
Marcelo,178.9459296721883,0.0,3e-06
Marcelo,167.87119438345533,-0.0,-2e-06
Marcelo,188.50911147664536,-0.0,-1e-06
Marcelo,173.85469780928423,-0.0,-3e-06
Marcelo,171.06481504976276,0.0,0.0
Marcelo,175.25153074045147,-0.0,-1e-06
Marcelo,175.27959298498698,-0.0,-1e-06
Marcelo,177.43667479760424,-0.0,0.0
Marcelo,177.93338965162664,0.0,2e-06
Marcelo,178.82718308036297,0.0,-1e-06
Marcelo,172.61849460547762,-0.0,-4e-06
Marcelo,175.77197426764903,-0.0,0.0
Marcelo,176.88374844671503,0.0,1e-06
Marcelo,174.53523673858737,0.0,2e-06
Marcelo,174.24008311543,0.0,-1e-06
Marcelo,178.16981502419645,0.0,1e-06
Marcelo,177.22733163257442,0.0,3e-06
Marcelo,183.02189674100583,-0.0,-3e-06
Marcelo,174.98684443414282,0.0,2e-06
Marcelo,174.3374389080455,0.0,2e-06
Marcelo,173.73049323593574,0.0,0.0
Marcelo,168.35656236874647,-1e-05,-4e-06
Marcelo,172.57702302932688,0.0,-0.0
Marcelo,164.31657527773666,0.0,2e-06
Marcelo,172.39066814780824,0.0,1e-06
Marcelo,174.3632870501103,-0.0,-0.0
Marcelo,160.8535923017128,-0.0,-0.0
Marcelo,169.06544457910684,0.0,2e-06
Marcelo,171.17622815691706,0.0,1e-06
Marcelo,174.11572772707814,-0.0,-2e-06
Marcelo,172.44919178892246,0.0,1e-06
Marcelo,174.81173867756627,0.0,0.0
Marcelo,176.61328186408298,0.0,0.0
Marcelo,171.32883405612222,0.0,2e-06
Marcelo,173.02790011147732,0.0,1e-06
Marcelo,179.55243159414835,0.0,2e-06
Marcelo,178.89174472428638,0.0,2e-06
Marcelo,179.48099198379214,-0.0,-1e-06
Marcelo,178.39719873625052,-0.0,0.0
Marcelo,171.6526594738055,0.0,1e-06
Marcelo,179.4591241297961,-0.0,-2e-06
Marcelo,180.97961171560218,0.0,-1e-06
Marcelo,171.2792650705581,0.0,2e-06
Marcelo,184.38806130928313,0.0,1e-06
Marcelo,173.6627841021834,0.0,1e-06
Marcelo,174.11799185773765,0.0,-0.0
Marcelo,174.11702060335736,-0.0,-0.0
Marcelo,178.90407592341103,0.0,1e-06
Marcelo,179.5438146712329,0.0,0.0
Marcelo,182.8343143141287,-0.0,-0.0
Marcelo,175.86335466651224,0.0,-1e-06
Marcelo,173.58317913438756,0.0,-1e-06
Marcelo,178.07435233570104,-0.0,0.0
Marcelo,183.16207002081325,-0.0,-2e-06
Marcelo,178.88606624279018,-0.0,-1e-06
Marcelo,174.90208510763338,-0.0,-0.0
Marcelo,169.83951025848486,0.0,0.0
Marcelo,176.42252885125853,0.0,1e-06
Marcelo,177.41946419673454,-0.0,-1e-06
Marcelo,180.16579173938885,-0.0,1e-06
Marcelo,174.56789268724285,-0.0,0.0
Marcelo,171.91821892230863,0.0,3e-06
Marcelo,181.61197923524017,0.0,1e-06
Marcelo,176.73233655542128,0.0,2e-06
Marcelo,180.24029241283563,0.0,-3e-06
Marcelo,175.99925756421896,0.0,-1e-06
Marcelo,171.4745418139679,0.0,2e-06
Marcelo,178.01555828793587,0.0,-2e-06
Marcelo,172.18738667596395,-0.0,-1e-06
Marcelo,172.64851548611543,0.0,2e-06
Marcelo,176.56547593434377,0.0,0.0
Marcelo,174.266944920828,-0.0,-1e-06
Marcelo,177.72848286640092,-0.0,1e-06
Marcelo,174.94532619810062,-0.0,-2e-06
Marcelo,171.05836249927293,0.0,0.0
Marcelo,174.55789812462547,0.0,-0.0
Marcelo,175.2397579602991,-0.0,-3e-06
Marcelo,170.83326358410096,-0.0,-2e-06
Marcelo,171.4186007877671,-0.0,-2e-06
Marcelo,169.5040532441765,-0.0,-2e-06
Marcelo,177.7807066462486,0.0,3e-06
Marcelo,173.84870697033531,-0.0,-1e-06
